Id,Iq,Phi_d,Phi_q
-246.153846,84.615385,0.0243619699062,0.0192874697005
-246.153846,92.307692,0.0257111796991,0.0235797610566
-246.153846,100.000000,0.0272264927923,0.0278423566517
-246.153846,107.692308,0.0285684256378,0.0319571040785
-246.153846,115.384615,0.0298523262841,0.035760785504
-246.153846,123.076923,0.0311117219867,0.0393594384934
-246.153846,130.769231,0.032378973577,0.0428766903575
-246.153846,138.461538,0.0336232752421,0.0463816873836
-246.153846,146.153846,0.0348911133814,0.0499370201012
-246.153846,153.846154,0.0361401120932,0.0535971223518
-246.153846,161.538462,0.0373887572135,0.0573101519905
-246.153846,169.230769,0.0386394355443,0.0609460053911
-246.153846,176.923077,0.039817931134,0.0644638137886
-246.153846,184.615385,0.0409456663754,0.0678591561801
-246.153846,192.307692,0.0419805110728,0.0711070340648
-246.153846,200.000000,0.0430217169632,0.0742924078447
-246.153846,207.692308,0.0441814549716,0.0775080770391
-246.153846,215.384615,0.0452357268573,0.0808812295063
-246.153846,223.076923,0.0462005548075,0.083931800006
-246.153846,230.769231,0.0470496742054,0.0869316126939
-246.153846,238.461538,0.0483186486502,0.089948493128
-246.153846,246.153846,0.0492097356494,0.0930468018719
-246.153846,253.846154,0.0496649118042,0.0953327508323
-246.153846,261.538462,0.0507192662111,0.0982842556991
-246.153846,269.230769,0.0517897425345,0.101284709674
-246.153846,276.923077,0.0525259231477,0.103769410578
-246.153846,284.615385,0.0532824358324,0.106292809516
-246.153846,292.307692,0.0540790806402,0.108810648019
-246.153846,300.000000,0.0548232073529,0.111262647397
-238.461538,0.000000,0.00759941186565,-0.0275992222792
-238.461538,7.692308,0.0091491157617,-0.0230568251953
-238.461538,15.384615,0.0106846788533,-0.0185278984535
-238.461538,23.076923,0.0122238821342,-0.0140505307584
-238.461538,30.769231,0.0138018171776,-0.00961928423245
-238.461538,38.461538,0.0153796644151,-0.00522507933491
-238.461538,46.153846,0.0170254986919,-0.000874892115231
-238.461538,53.846154,0.0185536635307,0.0034294051509
-238.461538,61.538462,0.0199779722485,0.00776166659244
-238.461538,69.230769,0.0218526668653,0.0120617342842
-238.461538,76.923077,0.0228252712104,0.0163752764616
-238.461538,84.615385,0.0245874850421,0.0207047288361
-238.461538,92.307692,0.0261603085704,0.0250538129083
-238.461538,100.000000,0.0275616592044,0.0293554543551
-238.461538,107.692308,0.0288972447391,0.0334662659594
-238.461538,115.384615,0.0302021384795,0.0372533782196
-238.461538,123.076923,0.0314550594632,0.0408754626016
-238.461538,130.769231,0.03273479697,0.0444508126096
-238.461538,138.461538,0.0340315738266,0.0480686500164
-238.461538,146.153846,0.0353140560364,0.051794446724
-238.461538,153.846154,0.0365982532926,0.0555771704779
-238.461538,161.538462,0.037887582345,0.0593043291816
-238.461538,169.230769,0.0391008099687,0.062930957332
-238.461538,176.923077,0.0402510455224,0.0664121745362
-238.461538,184.615385,0.0413050187502,0.069750349803
-238.461538,192.307692,0.042356731649,0.0729793248918
-238.461538,200.000000,0.0434904207698,0.076215610467
-238.461538,207.692308,0.0444782429386,0.0794043279147
-238.461538,215.384615,0.0456032874946,0.0827953334791
-238.461538,223.076923,0.0465096605199,0.0858855350202
